title,viewCount,likeCount,commentCount,publishedAt
"Welcome to ""NIZOO""",796447,40400,2442,2021-10-20T02:00:13Z
"NiziU SEASON'S GREETINGS 2022 ""Live Together"" Behind Movie",605435,17652,1311,2021-10-15T11:00:33Z
「NiziU Today ～Halloween Special～」Teaser,380320,12895,974,2021-10-13T11:00:12Z
NiziUxYogibo Making Movie,385179,13955,1034,2021-10-04T11:00:01Z
"NiziU SEASON'S GREETINGS 2022 ""Live Together"" MESSAGE",552569,16428,858,2021-09-30T02:18:03Z
「Take a picture」 Dance Performance Video (Red ver.),3886097,71045,4172,2021-09-20T11:00:31Z
NiziU 2nd Single『Take a picture』 Performance Video (Pajama ver.),2591370,53339,4516,2021-08-20T11:00:02Z
[NiziU Scout] Behind The Scenes #4,617066,15853,1633,2021-07-30T11:00:24Z
[NiziU Scout] Behind The Scenes #3,676058,15273,1178,2021-07-23T11:00:04Z
NiziU 2nd Single『Poppin’ Shakin’』 Performance Video(Animal ver.),2954974,68391,5060,2021-07-20T11:00:04Z
[NiziU Scout] Behind The Scenes #2,835155,18800,1359,2021-07-16T11:00:19Z
[NiziU Scout] #10,1658248,30552,2838,2021-07-09T11:00:00Z
「Super Summer」 Image Movie,3082483,77815,5187,2021-07-04T15:00:02Z
[NiziU Scout] #9,1913761,33305,2969,2021-07-02T11:00:02Z
[NiziU Scout] #8,1405888,28229,2146,2021-06-25T11:00:16Z
NiziU “OFFICIAL LIGHT STICK” Unboxing Video,1024185,35434,2218,2021-06-21T03:00:17Z
NiziU 『Poppin’ Shakin’ 』MV Making Movie,992479,27653,1782,2021-06-20T11:00:19Z
[NiziU Scout] #7,1364437,25154,2293,2021-06-18T11:00:15Z
NiziU 2nd Single『Take a picture』 relay dance,3219684,76127,5590,2021-06-16T00:15:01Z
[NiziU Scout] #6,1497214,29096,2363,2021-06-11T11:00:18Z
[NiziU Scout] #5,1894004,32400,2725,2021-06-04T11:00:26Z
NiziU 『Step and a step』 Dance Performance Video,6891586,117246,11395,2021-05-29T13:15:15Z
[NiziU Scout] #4,1639721,32596,2592,2021-05-28T11:00:35Z
[NiziU Scout] Behind The Scenes #1,918324,22773,1898,2021-05-21T11:00:28Z
NiziU『Take a picture 』MV Making Movie,1054328,31095,2128,2021-05-20T11:01:18Z
[NiziU Scout] #3,1950432,36333,3155,2021-05-14T11:00:01Z
[NiziU Scout] #2,2769355,52700,3951,2021-05-07T11:00:15Z
[NiziU Scout] #1,3167420,69736,6522,2021-04-30T11:00:22Z
NiziU 2nd Single『Poppin’ Shakin’』 Dance Performance Video,12805382,147980,13058,2021-04-28T00:00:42Z
「NiziU Scout」 Teaser,1245214,39406,1958,2021-04-20T12:30:09Z
NiziU 「Take a picture 」 featuring guide Video,1442533,34763,1882,2021-04-15T02:00:00Z
NiziU 「Poppin’ Shakin’ 」 featuring guide Video,2103160,42269,2502,2021-04-10T02:00:50Z
NiziU 2nd Single『Take a picture』 Dance Performance Video,29764185,243518,19563,2021-04-06T12:00:10Z
NiziU “Poppin’ Shakin’” MV Teaser,1408489,54552,2452,2021-04-05T15:00:34Z
NiziUxSoftBank Making Movie,902119,23290,1727,2021-04-03T11:00:32Z
