title,viewCount,likeCount,dislikeCount,commentCount,publishedAt
NiziU(니쥬) 1st Album 「Chopstick」 MV,12369127,352964,9720,30269,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12386088,353106,9726,30282,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12399647,353195,9728,30294,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12406784,353266,9731,30298,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12432919,353508,9754,30331,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12491641,353897,9770,30382,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12520604,354078,9776,30397,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12551145,354228,9784,30415,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12558365,354302,9786,30434,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12575996,354444,9799,30451,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12589655,354560,9804,30474,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12608045,354630,9808,30480,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12632509,354817,9822,30516,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12653628,354967,9826,30544,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12664000,355058,9830,30555,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12674205,355178,9833,30561,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12687034,355236,9833,30566,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12696098,355320,9831,30578,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12723999,355454,9843,30587,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12742013,355600,9848,30606,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12757587,355707,9851,30608,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12775108,355853,9857,30647,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12785717,355940,9861,30655,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12794744,356016,9865,30664,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12810954,356122,9867,30682,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12839739,356328,9876,30701,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12857006,356471,9883,30717,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12872654,356562,9886,30724,2021-11-10T15:00:13Z
NiziU(니쥬) 1st Album 「Chopstick」 MV,12905636,356786,9893,30753,2021-11-10T15:00:13Z
