title,viewCount,likeCount,dislikeCount,commentCount,publishedAt
"Thanks to WithU 2020, We make U happy 2021",1339153,38078,632,1417,2021-01-20T11:00:26Z
NiziU “We need U 2021”,1057000,35956,441,2136,2021-01-19T15:00:00Z
NiziU 『Step and a step』 featuring guide Video,2134303,41221,800,2254,2020-12-20T03:00:26Z
[We NiziU!~We need U!~] #5,264412,11402,100,893,2020-12-18T11:00:17Z
NiziU「Step and a step」M/V hits 50M views,840222,22266,331,1052,2020-12-18T03:41:24Z
[We NiziU!~We need U!~] #4,209129,10864,108,742,2020-12-11T11:00:19Z
[We NiziU!~We need U!~] #3,309583,12696,112,1033,2020-12-04T11:00:02Z
NiziU 『Step and a step』 Jacket Making Movie,1178312,29567,335,962,2020-12-02T18:24:10Z
NiziU 『Step and a step』 Information Video,876867,25232,266,814,2020-12-01T13:00:21Z
[We NiziU!~We need U!~] #5 Highlights,839545,15607,182,552,2020-12-01T11:00:06Z
[We NiziU!~We need U!~] #2,410644,18167,183,1275,2020-11-27T11:00:31Z
[We NiziU!~We need U!~] #4 Highlights,556991,13402,140,404,2020-11-24T11:00:55Z
[NiziU LOG]  Q＆A Vlog,2635511,48089,583,2667,2020-11-20T13:00:31Z
[We NiziU!~We need U!~] #1,503823,25675,188,1558,2020-11-20T11:00:06Z
[We NiziU!~We need U!~] #3 Highlights,1062593,19554,256,738,2020-11-17T11:00:17Z
[We NiziU!~We need U!~] #2 Highlights,1081444,24693,383,703,2020-11-10T11:00:04Z
[We NiziU!~We need U!~] #1 Highlights,1084992,26967,353,880,2020-11-03T11:00:13Z
[We NiziU!~We need U!~] Teaser2,1949165,42389,645,1641,2020-10-29T11:00:24Z
[We NiziU!~We need U!~] Teaser1,2375855,57941,847,1683,2020-10-27T02:00:03Z
NiziU SEASON’S GREETINGS 2021“ENTRANCE” DIGEST,1379967,49969,473,1808,2020-10-15T13:00:03Z
[NiziU LOG] #1 SUMMER Vlog,6133892,130879,2040,8940,2020-09-21T11:02:38Z
NiziU「Baby I'm a star」Dance Performance Video,30046982,281626,6847,17165,2020-08-29T09:00:22Z
NiziU「Make you happy」Dance Performance Video,16501740,238698,4912,8089,2020-08-22T09:00:01Z
"NiziU ""Dance The Night Away -Japanese ver.- (TWICE)"" DANCE COVER",23717012,350392,8922,16779,2020-08-01T02:00:00Z
NiziU 「Make you happy」M/V MAKING FILM,2669535,74814,738,2713,2020-07-30T09:00:05Z
NiziU NINA「Make you happy」M/V MAKING FILM,865288,36080,311,1699,2020-07-29T09:00:11Z
NiziU MIIHI「Make you happy」M/V MAKING FILM,1228336,44889,331,1818,2020-07-28T09:00:01Z
NiziU RIMA「Make you happy」M/V MAKING FILM,1136233,41221,262,1563,2020-07-27T09:00:03Z
[Nizi Project] Part 2 #10-2,6036497,45290,1119,3608,2020-07-24T10:00:40Z
[Nizi Project] Part 2 #10-1,6518948,32208,996,1734,2020-07-24T10:00:16Z
NiziU MAYUKA「Make you happy」M/V MAKING FILM,1087743,41353,270,1919,2020-07-24T09:00:02Z
NiziU AYAKA「Make you happy」M/V MAKING FILM,1039774,33106,393,1205,2020-07-23T13:00:26Z
NiziU RIKU「Make you happy」M/V MAKING FILM,1205981,38828,625,1963,2020-07-22T09:00:10Z
NiziU MAYA「Make you happy」M/V MAKING FILM,1315220,48511,345,1761,2020-07-21T09:00:08Z
NiziU RIO「Make you happy」M/V MAKING FILM,1412807,51695,551,1503,2020-07-20T11:00:00Z
NiziU MAKO「Make you happy」M/V MAKING FILM,1847901,71428,632,2231,2020-07-20T09:00:13Z
NiziU 「Make you happy」 featuring guide Video,14405601,195943,5542,10472,2020-07-19T03:00:01Z
NiziU official autograph event Day 3,1651124,46096,404,3653,2020-07-18T02:00:03Z
[Nizi Project] Part 2 #9-2,5514234,28006,819,1458,2020-07-17T10:01:12Z
[Nizi Project] Part 2 #9-1,4560512,25272,554,1428,2020-07-17T10:00:07Z
NiziU official autograph event Day 2,1668172,47312,531,3785,2020-07-17T02:00:01Z
NiziU official autograph event Day 1,2394691,75165,1040,5973,2020-07-16T02:00:05Z
NiziU 「Make you happy」 Performance Video(Korean ver.),44714087,516773,18191,22564,2020-07-15T11:00:11Z
[Nizi Project] Part 2 #8-2,4883146,23713,710,1274,2020-07-10T10:00:57Z
[Nizi Project] Part 2 #8-1,7066185,37479,1126,1755,2020-07-10T10:00:33Z
NiziU JACKET MAKING FILM,2390629,92200,1000,2950,2020-07-06T11:00:06Z
